trial,allocationLeft,allocationRight,left,time,task,evalPeriod,stockAllocation,n_trial,usertoken,treatment
0,60,40,bonds,2021-03-14T18:09:44Z,task1,1,40,1,bD48Dkqx,hops
0,18,82,stocks,2021-03-14T18:45:52Z,task1,30,18,1,eQFXhCnI,hops
0,35,65,stocks,2021-03-14T18:59:52Z,task1,1,35,1,HnGQuT00,point
0,0,100,stocks,2021-03-14T18:52:59Z,task1,1,0,1,Ks0A1NpT,barchart
0,20,80,bonds,2021-03-15T01:31:38Z,task1,30,80,1,M5LqR4zT,barchart
0,60,40,bonds,2021-03-15T01:21:11Z,task1,1,40,1,3ndBz7Qo,table
0,0,100,bonds,2021-03-15T01:22:41Z,task1,1,100,1,AWr1hgkv,hopsdist
0,100,0,stocks,2021-03-15T01:26:41Z,task1,30,100,1,CdUu1H6o,interval
0,33,67,bonds,2021-03-15T01:39:10Z,task1,1,67,1,zPh3til0,table
0,30,70,bonds,2021-03-15T04:18:48Z,task1,30,70,1,qjKh7UVK,dotplot
0,100,0,stocks,2021-03-15T04:07:26Z,task1,30,100,1,0kdSrEo1,hops
0,90,10,stocks,2021-03-15T03:59:18Z,task1,30,90,1,NtGf92sF,hops
0,30,70,bonds,2021-03-15T04:18:38Z,task1,30,70,1,s4Q3qpf8,density
0,30,70,bonds,2021-03-15T04:18:42Z,task1,30,70,1,wcNpYsey,table
0,4,96,stocks,2021-03-15T04:15:31Z,task1,30,4,1,jRfV99uU,interval
0,30,70,stocks,2021-03-15T04:19:01Z,task1,1,30,1,vfzDKPXv,point
0,30,70,stocks,2021-03-15T04:18:49Z,task1,30,30,1,kNKuLFG1,dotplot
0,100,0,stocks,2021-03-15T04:18:06Z,task1,30,100,1,zmUvANDx,interval
0,30,70,bonds,2021-03-15T04:18:50Z,task1,30,70,1,benynrvy,density
0,80,20,stocks,2021-03-15T04:31:18Z,task1,30,80,1,ebn3H4dp,density
0,75,25,bonds,2021-03-15T04:31:36Z,task1,1,25,1,9WnJN1l8,dotplot
0,15,85,stocks,2021-03-15T04:37:27Z,task1,30,15,1,Ezv2ERqp,dotplot
0,50,50,bonds,2021-03-15T05:33:41Z,task1,30,50,1,ybFQHjKq,density
0,65,35,stocks,2021-03-15T06:11:33Z,task1,30,65,1,F5VIGNAk,hopsdist
0,25,75,bonds,2021-03-15T23:08:31Z,task1,30,75,1,E59UVtDr,point
0,100,0,stocks,2021-03-15T09:49:47Z,task1,30,100,1,v2e8aGQ4,point
0,15,85,bonds,2021-03-15T10:08:24Z,task1,30,85,1,YiuoCenX,table
0,0,100,bonds,2021-03-15T11:58:06Z,task1,30,100,1,ZAoHkw0a,hops
0,85,15,bonds,2021-03-15T13:25:54Z,task1,1,15,1,M45OaFvP,dotplot
0,0,100,bonds,2021-03-15T13:29:20Z,task1,30,100,1,iqmer3KI,point
0,18,82,stocks,2021-03-15T13:49:56Z,task1,30,18,1,T7HR6iyi,density
0,100,0,stocks,2021-03-15T19:58:03Z,task1,1,100,1,rcY6S9oO,dotplot
0,80,20,stocks,2021-03-15T20:05:02Z,task1,30,80,1,lNOCYGhO,dotplot
0,20,80,bonds,2021-03-15T20:02:55Z,task1,30,80,1,140n4mbs,hops
0,100,0,bonds,2021-03-15T20:37:05Z,task1,1,0,1,f5LKgqpQ,point
0,100,0,stocks,2021-03-15T22:12:32Z,task1,30,100,1,DBQIKx8Z,table
0,40,60,stocks,2021-03-16T04:41:20Z,task1,30,40,1,39ZWzf76,dotplot
0,0,100,bonds,2021-03-16T04:55:31Z,task1,30,100,1,AR0XBZIP,interval
0,100,0,stocks,2021-03-16T14:30:36Z,task1,30,100,1,fzvUmShi,point
0,0,100,bonds,2021-03-16T18:56:02Z,task1,30,100,1,ISxZ2FH5,hops
0,0,100,bonds,2021-03-16T19:18:28Z,task1,30,100,1,ixnlV8AS,table
0,20,80,stocks,2021-03-17T12:58:02Z,task1,1,20,1,kcjVVfCK,table
0,0,100,bonds,2021-03-17T12:58:07Z,task1,30,100,1,Es5ER1YT,dotplot
0,85,15,stocks,2021-03-17T13:05:49Z,task1,1,85,1,6ZVU5hiB,barchart
0,20,80,bonds,2021-03-17T13:30:41Z,task1,1,80,1,xCjrtzRP,density
0,9,91,bonds,2021-03-17T14:33:13Z,task1,1,91,1,1C6DBLUa,hops
0,30,70,bonds,2021-03-17T13:45:54Z,task1,30,70,1,7ucyRcab,hopsdist
0,40,60,bonds,2021-03-17T13:54:49Z,task1,1,60,1,TF24R4Vr,point
0,20,80,bonds,2021-03-17T14:26:31Z,task1,30,80,1,JRSkVids,hopsdist
0,40,60,bonds,2021-03-17T14:41:50Z,task1,1,60,1,EACALwsH,barchart
0,0,100,bonds,2021-03-17T15:22:23Z,task1,30,100,1,bijkrN4x,interval
0,0,100,stocks,2021-03-17T16:26:15Z,task1,1,0,1,yesT399G,density
0,80,20,stocks,2021-03-17T16:24:26Z,task1,1,80,1,UhLgT1NF,hops
0,90,10,bonds,2021-03-17T16:27:40Z,task1,1,10,1,HYZzEL2u,dotplot
0,0,100,bonds,2021-03-17T16:27:07Z,task1,1,100,1,VdYpbJUh,dotplot
0,100,0,stocks,2021-03-17T16:32:16Z,task1,30,100,1,sXf1t2TC,table
0,97,3,stocks,2021-03-17T16:43:11Z,task1,30,97,1,a3sNCAlt,point
0,86,14,stocks,2021-03-17T16:45:40Z,task1,1,86,1,WeLeVmdO,hops
0,100,0,stocks,2021-03-17T16:38:34Z,task1,30,100,1,651zZLZY,dotplot
0,0,100,stocks,2021-03-17T17:07:14Z,task1,1,0,1,tPX21tz0,barchart
0,0,100,bonds,2021-03-17T17:07:37Z,task1,30,100,1,Wx6qtrFR,density
0,80,20,bonds,2021-03-17T17:15:57Z,task1,30,20,1,xjaSiYlq,dotplot
0,30,70,stocks,2021-03-17T17:22:26Z,task1,1,30,1,BdNwuYY3,dotplot
0,100,0,stocks,2021-03-17T17:27:28Z,task1,30,100,1,gkKtpet7,table
0,100,0,stocks,2021-03-17T17:31:24Z,task1,30,100,1,GbheV3mJ,density
0,0,100,bonds,2021-03-17T17:30:01Z,task1,30,100,1,g88DapTc,hopsdist
0,40,60,bonds,2021-03-17T17:37:46Z,task1,1,60,1,eMUmMQGE,point
0,100,0,stocks,2021-03-17T17:51:25Z,task1,30,100,1,B2HV6UdE,density
0,10,90,stocks,2021-03-17T17:58:01Z,task1,1,10,1,5WKDa2Ef,table
0,80,20,bonds,2021-03-17T17:54:34Z,task1,1,20,1,nJAP5Ncc,barchart
0,70,30,bonds,2021-03-17T17:58:43Z,task1,1,30,1,49IVMYWn,point
0,10,90,stocks,2021-03-17T18:01:20Z,task1,1,10,1,IsnM1aVU,hops
0,44,56,bonds,2021-03-17T20:58:04Z,task1,30,56,1,DxOS1qMI,table
0,100,0,stocks,2021-03-17T20:53:05Z,task1,1,100,1,FV3btokM,point
0,35,65,stocks,2021-03-17T20:53:47Z,task1,1,35,1,LxXewOKB,dotplot
0,100,0,stocks,2021-03-17T20:55:32Z,task1,30,100,1,oUs9Mfce,dotplot
0,100,0,stocks,2021-03-17T21:02:11Z,task1,30,100,1,f4xt2odB,point
0,20,80,bonds,2021-03-17T21:00:16Z,task1,1,80,1,7VJnbhrH,hopsdist
0,11,89,stocks,2021-03-17T20:56:38Z,task1,30,11,1,RGkwBCD7,hops
0,10,90,bonds,2021-03-17T20:59:08Z,task1,30,90,1,xIEzpaRA,interval
0,100,0,stocks,2021-03-17T21:06:59Z,task1,30,100,1,NYIo95xY,table
0,10,90,stocks,2021-03-17T21:09:02Z,task1,1,10,1,GkcZEM1X,table
0,0,100,stocks,2021-03-17T21:14:48Z,task1,1,0,1,qrOdbxJw,dotplot
0,20,80,stocks,2021-03-17T21:37:09Z,task1,1,20,1,biD53yQS,dotplot
0,0,100,bonds,2021-03-17T21:53:00Z,task1,30,100,1,FCqfkdPd,dotplot
