treatment,evalPeriod,usertoken,task1,task2,net
barchart,1,6ZVU5hiB,0.921027,0.847032,-0.074
barchart,1,7EoLeJB8,0.995022,0.995022,0
barchart,1,9ELOvUK7,0.896362,0.8716969999999999,-0.025
barchart,1,aLzBpinz,0.837166,0.72864,-0.109
barchart,1,aR6ZAxSB,0.625047,0.625047,0
barchart,1,ayPyXGjo,0.6990419999999999,0.501722,-0.197
barchart,1,BSl2bHCH,0.797702,0.748372,-0.049
barchart,1,EACALwsH,0.797702,0.797702,0
barchart,1,F9sXiaez,0.896362,0.625047,-0.271
barchart,1,i1ThzWu9,0.600382,0.748372,0.148
barchart,1,I4DYQ30E,0.748372,0.6990419999999999,-0.049
barchart,1,JSjHZMdQ,0.847032,0.896362,0.049
barchart,1,Ks0A1NpT,0.501722,0.847032,0.345
barchart,1,M5LqR4zT,0.847032,0.945692,0.099
barchart,1,mxVQAeko,0.797702,0.896362,0.099
barchart,1,N1Sd7DgS,0.921027,0.797702,-0.123
barchart,1,nJAP5Ncc,0.600382,0.625047,0.025
barchart,1,pfuRg4QJ,0.797702,0.694109,-0.104
barchart,1,Rxuytkvq,0.6990419999999999,0.6990419999999999,0
barchart,1,tPX21tz0,0.501722,0.6990419999999999,0.197
barchart,1,tvLQoi4G,0.945692,0.8716969999999999,-0.074
barchart,1,UjjJWjHQ,0.625047,0.674377,0.049
barchart,1,vY1JF5yT,0.501722,0.501722,0
barchart,1,wk2kZpQp,0.896362,0.625047,-0.271
barchart,1,WpvHJU0u,0.600382,0.6990419999999999,0.099
barchart,1,X4DUFLzy,0.600382,0.748372,0.148
barchart,1,yVncI91m,0.896362,0.896362,0
barchart,5,6ZVU5hiB,0.995022,0.8716969999999999,-0.123
barchart,5,7EoLeJB8,0.9703569999999999,0.8716969999999999,-0.099
barchart,5,9ELOvUK7,0.832233,0.837166,0.005
barchart,5,aLzBpinz,0.615181,0.945692,0.331
barchart,5,aR6ZAxSB,0.748372,0.625047,-0.123
barchart,5,ayPyXGjo,0.551052,0.600382,0.049
barchart,5,BSl2bHCH,0.995022,0.748372,-0.247
barchart,5,EACALwsH,0.8716969999999999,0.797702,-0.074
barchart,5,F9sXiaez,0.8223670000000001,0.6497120000000001,-0.173
barchart,5,i1ThzWu9,0.551052,0.916094,0.365
barchart,5,I4DYQ30E,0.896362,0.896362,0
barchart,5,JSjHZMdQ,0.847032,0.847032,0
barchart,5,Ks0A1NpT,0.847032,0.6990419999999999,-0.148
barchart,5,M5LqR4zT,0.945692,0.921027,-0.025
barchart,5,mxVQAeko,0.995022,0.896362,-0.099
barchart,5,N1Sd7DgS,0.896362,0.763171,-0.133
barchart,5,nJAP5Ncc,0.773037,0.6497120000000001,-0.123
barchart,5,pfuRg4QJ,0.8272999999999999,0.768104,-0.059
barchart,5,Rxuytkvq,0.6990419999999999,0.6497120000000001,-0.049
barchart,5,tPX21tz0,0.847032,0.797702,-0.049
barchart,5,tvLQoi4G,0.896362,0.896362,0
barchart,5,UjjJWjHQ,0.896362,0.625047,-0.271
barchart,5,vY1JF5yT,0.748372,0.501722,-0.247
barchart,5,wk2kZpQp,0.896362,0.6497120000000001,-0.247
barchart,5,WpvHJU0u,0.6497120000000001,0.748372,0.099
barchart,5,X4DUFLzy,0.8716969999999999,0.773037,-0.099
barchart,5,yVncI91m,0.921027,0.896362,-0.025
barchart,10,6ZVU5hiB,0.995022,0.995022,0
barchart,10,7EoLeJB8,0.995022,0.995022,0
barchart,10,9ELOvUK7,0.8075680000000001,0.851965,0.044
barchart,10,aLzBpinz,0.585583,0.600382,0.015
barchart,10,aR6ZAxSB,0.748372,0.6990419999999999,-0.049
barchart,10,ayPyXGjo,0.6497120000000001,0.6990419999999999,0.049
barchart,10,BSl2bHCH,0.797702,0.995022,0.197
barchart,10,EACALwsH,0.896362,0.797702,-0.099
barchart,10,F9sXiaez,0.9703569999999999,0.847032,-0.123
barchart,10,i1ThzWu9,0.955558,0.940759,-0.015
barchart,10,I4DYQ30E,0.896362,0.945692,0.049
barchart,10,JSjHZMdQ,0.797702,0.847032,0.049
barchart,10,Ks0A1NpT,0.6497120000000001,0.945692,0.296
barchart,10,M5LqR4zT,0.945692,0.945692,0
barchart,10,mxVQAeko,0.945692,0.995022,0.049
barchart,10,N1Sd7DgS,0.8223670000000001,0.8223670000000001,0
barchart,10,nJAP5Ncc,0.773037,0.797702,0.025
barchart,10,pfuRg4QJ,0.8716969999999999,0.832233,-0.039
barchart,10,Rxuytkvq,0.896362,0.797702,-0.099
barchart,10,tPX21tz0,0.797702,0.921027,0.123
barchart,10,tvLQoi4G,0.945692,0.896362,-0.049
barchart,10,UjjJWjHQ,0.773037,0.8223670000000001,0.049
barchart,10,vY1JF5yT,0.995022,0.748372,-0.247
barchart,10,wk2kZpQp,0.945692,0.896362,-0.049
barchart,10,WpvHJU0u,0.847032,0.797702,-0.049
barchart,10,X4DUFLzy,0.921027,0.8716969999999999,-0.049
barchart,10,yVncI91m,0.945692,0.921027,-0.025
barchart,15,6ZVU5hiB,0.995022,0.995022,0
barchart,15,7EoLeJB8,0.960491,0.995022,0.035
barchart,15,9ELOvUK7,0.8716969999999999,0.861831,-0.01
barchart,15,aLzBpinz,0.595449,0.58065,-0.015
barchart,15,aR6ZAxSB,0.8716969999999999,0.797702,-0.074
barchart,15,ayPyXGjo,0.6497120000000001,0.6990419999999999,0.049
barchart,15,BSl2bHCH,0.797702,0.995022,0.197
barchart,15,EACALwsH,0.847032,0.8716969999999999,0.025
barchart,15,F9sXiaez,0.995022,0.8223670000000001,-0.173
barchart,15,i1ThzWu9,0.600382,0.955558,0.355
barchart,15,I4DYQ30E,0.896362,0.921027,0.025
barchart,15,JSjHZMdQ,0.896362,0.847032,-0.049
barchart,15,Ks0A1NpT,0.995022,0.847032,-0.148
barchart,15,M5LqR4zT,0.797702,0.945692,0.148
barchart,15,mxVQAeko,0.995022,0.995022,0
barchart,15,N1Sd7DgS,0.921027,0.847032,-0.074
barchart,15,nJAP5Ncc,0.896362,0.797702,-0.099
barchart,15,pfuRg4QJ,0.995022,0.886496,-0.109
barchart,15,Rxuytkvq,0.945692,0.8223670000000001,-0.123
barchart,15,tPX21tz0,0.8716969999999999,0.797702,-0.074
barchart,15,tvLQoi4G,0.995022,0.896362,-0.099
barchart,15,UjjJWjHQ,0.921027,0.797702,-0.123
barchart,15,vY1JF5yT,0.995022,0.995022,0
barchart,15,wk2kZpQp,0.995022,0.896362,-0.099
barchart,15,WpvHJU0u,0.945692,0.8716969999999999,-0.074
barchart,15,X4DUFLzy,0.896362,0.896362,0
barchart,15,yVncI91m,0.8716969999999999,0.896362,0.025
barchart,20,6ZVU5hiB,0.995022,0.995022,0
barchart,20,7EoLeJB8,0.9703569999999999,0.995022,0.025
barchart,20,9ELOvUK7,0.906228,0.921027,0.015
barchart,20,aLzBpinz,0.960491,0.960491,0
barchart,20,aR6ZAxSB,0.945692,0.8716969999999999,-0.074
barchart,20,ayPyXGjo,0.674377,0.797702,0.123
barchart,20,BSl2bHCH,0.797702,0.995022,0.197
barchart,20,EACALwsH,0.9703569999999999,0.896362,-0.074
barchart,20,F9sXiaez,0.945692,0.995022,0.049
barchart,20,i1ThzWu9,0.960491,0.575717,-0.385
barchart,20,I4DYQ30E,0.921027,0.896362,-0.025
barchart,20,JSjHZMdQ,0.896362,0.945692,0.049
barchart,20,Ks0A1NpT,0.896362,0.945692,0.049
barchart,20,M5LqR4zT,0.551052,0.921027,0.37
barchart,20,mxVQAeko,0.995022,0.995022,0
barchart,20,N1Sd7DgS,0.837166,0.847032,0.01
barchart,20,nJAP5Ncc,0.847032,0.847032,0
barchart,20,pfuRg4QJ,0.87663,0.77797,-0.099
barchart,20,Rxuytkvq,0.896362,0.896362,0
barchart,20,tPX21tz0,0.896362,0.896362,0
barchart,20,tvLQoi4G,0.995022,0.995022,0
barchart,20,UjjJWjHQ,0.797702,0.748372,-0.049
barchart,20,vY1JF5yT,0.995022,0.995022,0
barchart,20,wk2kZpQp,0.945692,0.945692,0
barchart,20,WpvHJU0u,0.551052,0.896362,0.345
barchart,20,X4DUFLzy,0.896362,0.896362,0
barchart,20,yVncI91m,0.945692,0.8223670000000001,-0.123
barchart,25,6ZVU5hiB,0.995022,0.995022,0
barchart,25,7EoLeJB8,0.995022,0.847032,-0.148
barchart,25,9ELOvUK7,0.921027,0.8075680000000001,-0.113
barchart,25,aLzBpinz,0.955558,0.955558,0
barchart,25,aR6ZAxSB,0.945692,0.8716969999999999,-0.074
barchart,25,ayPyXGjo,0.945692,0.6990419999999999,-0.247
barchart,25,BSl2bHCH,0.995022,0.995022,0
barchart,25,EACALwsH,0.9703569999999999,0.921027,-0.049
barchart,25,F9sXiaez,0.945692,0.921027,-0.025
barchart,25,i1ThzWu9,0.9703569999999999,0.955558,-0.015
barchart,25,I4DYQ30E,0.847032,0.896362,0.049
barchart,25,JSjHZMdQ,0.896362,0.896362,0
barchart,25,Ks0A1NpT,0.896362,0.847032,-0.049
barchart,25,M5LqR4zT,0.551052,0.921027,0.37
barchart,25,mxVQAeko,0.995022,0.995022,0
barchart,25,N1Sd7DgS,0.773037,0.8716969999999999,0.099
barchart,25,nJAP5Ncc,0.921027,0.896362,-0.025
barchart,25,pfuRg4QJ,0.921027,0.930893,0.01
barchart,25,Rxuytkvq,0.896362,0.847032,-0.049
barchart,25,tPX21tz0,0.896362,0.8716969999999999,-0.025
barchart,25,tvLQoi4G,0.995022,0.995022,0
barchart,25,UjjJWjHQ,0.8223670000000001,0.8223670000000001,0
barchart,25,vY1JF5yT,0.995022,0.995022,0
barchart,25,wk2kZpQp,0.9703569999999999,0.945692,-0.025
barchart,25,WpvHJU0u,0.896362,0.896362,0
barchart,25,X4DUFLzy,0.921027,0.817434,-0.104
barchart,25,yVncI91m,0.921027,0.945692,0.025
barchart,30,6ZVU5hiB,0.995022,0.995022,0
barchart,30,7EoLeJB8,0.995022,0.9703569999999999,-0.025
barchart,30,9ELOvUK7,0.945692,0.8272999999999999,-0.118
barchart,30,aLzBpinz,0.837166,0.72864,-0.109
barchart,30,aR6ZAxSB,0.995022,0.8716969999999999,-0.123
barchart,30,ayPyXGjo,0.945692,0.6497120000000001,-0.296
barchart,30,BSl2bHCH,0.995022,0.995022,0
barchart,30,EACALwsH,0.945692,0.8716969999999999,-0.074
barchart,30,F9sXiaez,0.995022,0.995022,0
barchart,30,i1ThzWu9,0.797702,0.58065,-0.217
barchart,30,I4DYQ30E,0.945692,0.896362,-0.049
barchart,30,JSjHZMdQ,0.896362,0.945692,0.049
barchart,30,Ks0A1NpT,0.995022,0.896362,-0.099
barchart,30,M5LqR4zT,0.896362,0.945692,0.049
barchart,30,mxVQAeko,0.995022,0.995022,0
barchart,30,N1Sd7DgS,0.896362,0.8420989999999999,-0.054
barchart,30,nJAP5Ncc,0.847032,0.8716969999999999,0.025
barchart,30,pfuRg4QJ,0.995022,0.930893,-0.064
barchart,30,Rxuytkvq,0.945692,0.896362,-0.049
barchart,30,tPX21tz0,0.8716969999999999,0.8223670000000001,-0.049
barchart,30,tvLQoi4G,0.995022,0.995022,0
barchart,30,UjjJWjHQ,0.995022,0.797702,-0.197
barchart,30,vY1JF5yT,0.995022,0.995022,0
barchart,30,wk2kZpQp,0.995022,0.896362,-0.099
barchart,30,WpvHJU0u,0.945692,0.8716969999999999,-0.074
barchart,30,X4DUFLzy,0.945692,0.896362,-0.049
barchart,30,yVncI91m,0.8716969999999999,0.945692,0.074
density,1,5LdZf9d2,0.8223670000000001,0.8223670000000001,0
density,1,7oAfixKC,0.625047,0.8716969999999999,0.247
density,1,B2HV6UdE,0.8716969999999999,0.945692,0.074
density,1,benynrvy,0.748372,0.847032,0.099
density,1,CiXTsREp,0.8272999999999999,0.847032,0.02
density,1,CTij7KI0,0.837166,0.9654240000000001,0.128
density,1,ebn3H4dp,0.8223670000000001,0.797702,-0.025
density,1,GbheV3mJ,0.551052,0.600382,0.049
density,1,IhtyQEo6,0.896362,0.600382,-0.296
density,1,irBodiNR,0.6842429999999999,0.723707,0.039
density,1,J68xlxT0,0.748372,0.847032,0.099
density,1,jmulOEyq,0.847032,0.6497120000000001,-0.197
density,1,jWrAFb7o,0.748372,0.847032,0.099
density,1,NoAbJ9SC,0.8223670000000001,0.896362,0.074
density,1,s4Q3qpf8,0.847032,0.600382,-0.247
density,1,T7HR6iyi,0.758238,0.945692,0.187
density,1,ulloPKoy,0.6497120000000001,0.6497120000000001,0
density,1,VrORzmC3,0.501722,0.995022,0.493
density,1,Wx6qtrFR,0.995022,0.995022,0
density,1,xCjrtzRP,0.896362,0.955558,0.059
density,1,ybFQHjKq,0.797702,0.748372,-0.049
density,5,5LdZf9d2,0.847032,0.625047,-0.222
density,5,7oAfixKC,0.995022,0.748372,-0.247
density,5,B2HV6UdE,0.995022,0.945692,-0.049
density,5,benynrvy,0.748372,0.6990419999999999,-0.049
density,5,CiXTsREp,0.945692,0.6497120000000001,-0.296
density,5,CTij7KI0,0.935826,0.950625,0.015
density,5,ebn3H4dp,0.896362,0.674377,-0.222
density,5,GbheV3mJ,0.945692,0.501722,-0.444
density,5,IhtyQEo6,0.847032,0.625047,-0.222
density,5,irBodiNR,0.861831,0.797702,-0.064
density,5,J68xlxT0,0.797702,0.6497120000000001,-0.148
density,5,jmulOEyq,0.847032,0.600382,-0.247
density,5,jWrAFb7o,0.9703569999999999,0.896362,-0.074
density,5,NoAbJ9SC,0.847032,0.6990419999999999,-0.148
density,5,s4Q3qpf8,0.847032,0.748372,-0.099
density,5,T7HR6iyi,0.615181,0.565851,-0.049
density,5,ulloPKoy,0.896362,0.674377,-0.222
density,5,VrORzmC3,0.896362,0.501722,-0.395
density,5,Wx6qtrFR,0.995022,0.995022,0
density,5,xCjrtzRP,0.935826,0.97529,0.039
density,5,ybFQHjKq,0.847032,0.797702,-0.049
