trial,allocationLeft,allocationRight,left,time,task,evalPeriod,stockAllocation,n_trial,usertoken,treatment,dv,eval_period_normalized
0,100,0,bonds,2021-03-09T15:34:49Z,task1,1,0,1,ihzwQryH,table,0.501722,-0.4666666666666667
0,0,100,bonds,2021-03-09T15:59:57Z,task1,30,100,1,sZIP7Kj7,barchart,0.995022,0.5
0,10,90,stocks,2021-03-09T20:48:29Z,task1,1,10,1,nsyZVKPE,hopsdist,0.551052,-0.4666666666666667
0,0,100,stocks,2021-03-09T21:09:41Z,task1,1,0,1,SFBRic3a,density,0.501722,-0.4666666666666667
0,100,0,stocks,2021-03-10T02:32:06Z,task1,1,100,1,z0xgIKPa,point,0.995022,-0.4666666666666667
0,50,50,bonds,2021-03-10T23:01:58Z,task1,1,50,1,mGZrahTV,table,0.748372,-0.4666666666666667
0,90,10,stocks,2021-03-11T01:23:04Z,task1,30,90,1,VUkSLcju,hopsdist,0.945692,0.5
0,40,60,stocks,2021-03-11T03:41:07Z,task1,1,40,1,LDjn6tDW,density,0.6990419999999999,-0.4666666666666667
0,0,100,bonds,2021-03-11T13:34:06Z,task1,30,100,1,gW5uzQ4f,hops,0.995022,0.5
0,0,100,bonds,2021-03-11T15:11:22Z,task1,1,100,1,yxlcnitB,table,0.995022,-0.4666666666666667
0,50,50,bonds,2021-03-11T15:47:30Z,task1,1,50,1,xhHnAIbp,interval,0.748372,-0.4666666666666667
0,100,0,stocks,2021-03-11T20:27:37Z,task1,30,100,1,HnhS8GyD,dotplot,0.995022,0.5
0,70,30,stocks,2021-03-11T22:16:52Z,task1,30,70,1,lO60PQIr,density,0.847032,0.5
0,10,90,stocks,2021-03-12T00:48:58Z,task1,1,10,1,WvMFR8Sz,barchart,0.551052,-0.4666666666666667
0,80,20,stocks,2021-03-12T00:50:10Z,task1,1,80,1,U8gqQAF4,dotplot,0.896362,-0.4666666666666667
0,20,80,bonds,2021-03-12T01:10:08Z,task1,30,80,1,tQv9j7lp,density,0.896362,0.5
0,25,75,bonds,2021-03-12T01:59:21Z,task1,1,75,1,vHA4TRk4,barchart,0.8716969999999999,-0.4666666666666667
0,90,10,stocks,2021-03-12T02:53:50Z,task1,30,90,1,vezKL4bo,dotplot,0.945692,0.5
0,20,80,stocks,2021-03-12T03:42:11Z,task1,1,20,1,hidDfoT7,point,0.600382,-0.4666666666666667
0,52,48,bonds,2021-03-12T16:08:55Z,task1,1,48,1,dOvKKrKx,hopsdist,0.738506,-0.4666666666666667
0,100,0,stocks,2021-03-12T17:11:29Z,task1,30,100,1,5MoR537n,dotplot,0.995022,0.5
0,70,30,stocks,2021-03-12T18:10:15Z,task1,30,70,1,9qiVxIhk,density,0.847032,0.5
0,80,20,stocks,2021-03-12T18:28:34Z,task1,1,80,1,2jqguoYh,interval,0.896362,-0.4666666666666667
0,0,100,bonds,2021-03-12T20:00:20Z,task1,30,100,1,6SBdrLCR,hopsdist,0.995022,0.5
0,30,70,bonds,2021-03-12T22:31:54Z,task1,1,70,1,qNJkISBa,point,0.847032,-0.4666666666666667
0,0,100,stocks,2021-03-13T00:49:44Z,task1,1,0,1,ffFn1C1O,table,0.501722,-0.4666666666666667
0,75,25,stocks,2021-03-13T01:24:10Z,task1,30,75,1,9nvPuyHc,barchart,0.8716969999999999,0.5
0,20,80,bonds,2021-03-13T03:53:30Z,task1,1,80,1,HzdeT56F,hopsdist,0.896362,-0.4666666666666667
0,30,70,bonds,2021-03-13T03:50:49Z,task1,1,70,1,rxdroOug,interval,0.847032,-0.4666666666666667
1,0,100,bonds,2021-03-09T15:34:58Z,task1,30,100,2,ihzwQryH,table,0.995022,0.5
1,10,90,bonds,2021-03-09T16:00:30Z,task1,1,90,2,sZIP7Kj7,barchart,0.945692,-0.4666666666666667
1,95,5,stocks,2021-03-09T20:48:46Z,task1,30,95,2,nsyZVKPE,hopsdist,0.9703569999999999,0.5
1,100,0,stocks,2021-03-09T21:10:05Z,task1,30,100,2,SFBRic3a,density,0.995022,0.5
1,0,100,bonds,2021-03-10T02:32:10Z,task1,30,100,2,z0xgIKPa,point,0.995022,0.5
1,0,100,bonds,2021-03-10T23:02:30Z,task1,30,100,2,mGZrahTV,table,0.995022,0.5
1,60,40,stocks,2021-03-11T01:23:32Z,task1,1,60,2,VUkSLcju,hopsdist,0.797702,-0.4666666666666667
1,0,100,bonds,2021-03-11T03:41:53Z,task1,30,100,2,LDjn6tDW,density,0.995022,0.5
1,34,66,stocks,2021-03-11T13:34:56Z,task1,1,34,2,gW5uzQ4f,hops,0.6694439999999999,-0.4666666666666667
1,0,100,bonds,2021-03-11T15:11:29Z,task1,30,100,2,yxlcnitB,table,0.995022,0.5
1,100,0,stocks,2021-03-11T15:48:09Z,task1,30,100,2,xhHnAIbp,interval,0.995022,0.5
1,0,100,stocks,2021-03-11T20:28:45Z,task1,1,0,2,HnhS8GyD,dotplot,0.501722,-0.4666666666666667
1,90,10,stocks,2021-03-11T22:17:05Z,task1,1,90,2,lO60PQIr,density,0.945692,-0.4666666666666667
1,100,0,stocks,2021-03-12T00:49:18Z,task1,30,100,2,WvMFR8Sz,barchart,0.995022,0.5
1,25,75,bonds,2021-03-12T00:50:32Z,task1,30,75,2,U8gqQAF4,dotplot,0.8716969999999999,0.5
1,85,15,stocks,2021-03-12T01:10:18Z,task1,1,85,2,tQv9j7lp,density,0.921027,-0.4666666666666667
1,0,100,stocks,2021-03-12T01:59:42Z,task1,30,0,2,vHA4TRk4,barchart,0.501722,0.5
1,15,85,bonds,2021-03-12T02:54:40Z,task1,1,85,2,vezKL4bo,dotplot,0.921027,-0.4666666666666667
1,100,0,stocks,2021-03-12T03:42:29Z,task1,30,100,2,hidDfoT7,point,0.995022,0.5
1,80,20,stocks,2021-03-12T16:09:31Z,task1,30,80,2,dOvKKrKx,hopsdist,0.896362,0.5
1,20,80,stocks,2021-03-12T17:11:50Z,task1,1,20,2,5MoR537n,dotplot,0.600382,-0.4666666666666667
1,60,40,stocks,2021-03-12T18:10:58Z,task1,1,60,2,9qiVxIhk,density,0.797702,-0.4666666666666667
1,100,0,stocks,2021-03-12T18:28:53Z,task1,30,100,2,2jqguoYh,interval,0.995022,0.5
1,90,10,bonds,2021-03-12T20:00:29Z,task1,1,10,2,6SBdrLCR,hopsdist,0.551052,-0.4666666666666667
