usertoken,treatment,qual_check
bD48Dkqx,hops,I was asked to allocate money between two different funds to try to maximize returns.
eQFXhCnI,hops,Need to allocate funds
HnGQuT00,point,Making the decision about retirement investments. Almost 30 years plan. To analyse how to calculate and making decision to the retirement investments.
Ks0A1NpT,barchart,I was given two funds to invest in. I had to pick the one with the better return. I could also split my assets between the funds.
M5LqR4zT,barchart, data visualizations of the rates of returns for two funds on investment financial decisions for retirement.
3ndBz7Qo,table,"Examine rates of return on investments using graphs and charts, and decide which investments I'd prefer over a 30 year span. "
AWr1hgkv,hopsdist,decide which fund to invest your funds based upon a bunch of possible single year results. one being safer and one being riskier.
CdUu1H6o,interval,I needed to choose which investment to invest in and how much to allocate between two different investments for the largest return over a long period of time.
zPh3til0,table,I was asked to do in this study is to understand how different data visualizations may affect financial retirement decisions.
qjKh7UVK,dotplot,Decision making for my choice in the fund allocation for 1 year period.
0kdSrEo1,hops,To understand different types of visual data charts to make financial investment decisions.    
NtGf92sF,hops,Choose between two investments based on graphic information that was given about the investments and their rates over time
s4Q3qpf8,density,Pay careful attention to the verb tenses used in the question. Appropriate use of verb tense will have a big influence on your final score.
wcNpYsey,table,decision making purpose of study.
jRfV99uU,interval,How long the journey laste  What happened during the journey
vfzDKPXv,point,"This person is a male friend of mine. I got to know him a few years ago when I was introduced to him by another friend of mine.
I’d describe him as a very friendly person and have always found him to be very considerate of other people."
kNKuLFG1,dotplot,Data visualizations on financial decisions for retirement.Decide how would allocate a hypothetical investment for retirement between the two funds as a percentage
zmUvANDx,interval,Pick amounts to invest in 2 different funds for retirement. Also choose between 2 outcomes of a certain outcome and one with a 50/50 chance.
benynrvy,density,They might tell me which subject they are studying at that moment
ebn3H4dp,density,"I was asked to choose funds to maximize returns, for a 30 year period."
JsPdjZKq,hopsdist,The two phrases can mean the same thing. Since the two persons are introducing themselves
kLGIQdrz,interval,Nice study
9WnJN1l8,dotplot,I was asked to analyze investment charts over 30 years and split a retirement fund between them.
Ezv2ERqp,dotplot,Focus on Why You're Passionate About the Job.
ybFQHjKq,density,"Asked to do Retirement Investment Decision-Making with Data Visualisations.
"
F5VIGNAk,hopsdist,I have been asked to allocate percentage of amount to the investment options based on the given return percentage.
E59UVtDr,point,i was asked to allocate funds to a set of retirement funds using data visualization to make my decision.
v2e8aGQ4,point,I was asked to study visualizations and make investment decisions for retirement funds by choosing between two fund options. There were 2 different types of charts in the experiment. 
YiuoCenX,table,To allocate a hypothetical investment for retirement between two funds .
ZAoHkw0a,hops,"Look at possible rates of return for investments, then choose an allocation for those investments."
M45OaFvP,dotplot,"Pick the funds with the best return and divide my assets between the two funds, based on risk and length of investment in years."
iqmer3KI,point,Pick between two investment choices for 30 years for retirement.
T7HR6iyi,density,Investment decision about retirement scheme.
