Year,Returns,Fund
1928,0.4381,Stocks
1929,-0.083,Stocks
1930,-0.2512,Stocks
1931,-0.4384,Stocks
1932,-0.0864,Stocks
1933,0.4998,Stocks
1934,-0.0119,Stocks
1935,0.4674,Stocks
1936,0.3194,Stocks
1937,-0.3534,Stocks
1938,0.2928,Stocks
1939,-0.011,Stocks
1940,-0.1067,Stocks
1941,-0.1277,Stocks
1942,0.1917,Stocks
1943,0.2506,Stocks
1944,0.1903,Stocks
1945,0.3582,Stocks
1946,-0.0843,Stocks
1947,0.052,Stocks
1948,0.057,Stocks
1949,0.183,Stocks
1950,0.3081,Stocks
1951,0.2368,Stocks
1952,0.1815,Stocks
1953,-0.0121,Stocks
1954,0.5256,Stocks
1955,0.326,Stocks
1956,0.0744,Stocks
1957,-0.1046,Stocks
1958,0.4372,Stocks
1959,0.1206,Stocks
1960,0.0034,Stocks
1961,0.2664,Stocks
1962,-0.0881,Stocks
1963,0.2261,Stocks
1964,0.1642,Stocks
1965,0.124,Stocks
1966,-0.0997,Stocks
1967,0.238,Stocks
1968,0.1081,Stocks
1969,-0.0824,Stocks
1970,0.0356,Stocks
1971,0.1422,Stocks
1972,0.1876,Stocks
1973,-0.1431,Stocks
1974,-0.259,Stocks
1975,0.37,Stocks
1976,0.2383,Stocks
1977,-0.0698,Stocks
1978,0.0651,Stocks
1979,0.1852,Stocks
1980,0.3174,Stocks
1981,-0.047,Stocks
1982,0.2042,Stocks
1983,0.2234,Stocks
1984,0.0615,Stocks
1985,0.3124,Stocks
1986,0.1849,Stocks
1987,0.0581,Stocks
1988,0.1654,Stocks
1989,0.3148,Stocks
1990,-0.0306,Stocks
1991,0.3023,Stocks
1992,0.0749,Stocks
1993,0.0997,Stocks
1994,0.0133,Stocks
1995,0.372,Stocks
1996,0.2268,Stocks
1997,0.331,Stocks
1998,0.2834,Stocks
1999,0.2089,Stocks
2000,-0.0903,Stocks
2001,-0.1185,Stocks
2002,-0.2197,Stocks
2003,0.2836,Stocks
2004,0.1074,Stocks
2005,0.0483,Stocks
2006,0.1561,Stocks
2007,0.0548,Stocks
2008,-0.3655,Stocks
2009,0.2594,Stocks
2010,0.1482,Stocks
2011,0.021,Stocks
2012,0.1589,Stocks
2013,0.3215,Stocks
2014,0.1352,Stocks
2015,0.0138,Stocks
2016,0.1177,Stocks
2017,0.2161,Stocks
2018,-0.0423,Stocks
1928,0.0084,Bonds
1929,0.042,Bonds
1930,0.0454,Bonds
1931,-0.0256,Bonds
1932,0.0879,Bonds
1933,0.0186,Bonds
1934,0.0796,Bonds
1935,0.0447,Bonds
1936,0.0502,Bonds
1937,0.0138,Bonds
1938,0.0421,Bonds
1939,0.0441,Bonds
1940,0.054,Bonds
1941,-0.0202,Bonds
1942,0.0229,Bonds
1943,0.0249,Bonds
1944,0.0258,Bonds
1945,0.038,Bonds
1946,0.0313,Bonds
1947,0.0092,Bonds
1948,0.0195,Bonds
1949,0.0466,Bonds
1950,0.0043,Bonds
1951,-0.003,Bonds
1952,0.0227,Bonds
1953,0.0414,Bonds
1954,0.0329,Bonds
1955,-0.0134,Bonds
1956,-0.0226,Bonds
1957,0.068,Bonds
1958,-0.021,Bonds
1959,-0.0265,Bonds
1960,0.1164,Bonds
1961,0.0206,Bonds
1962,0.0569,Bonds
1963,0.0168,Bonds
1964,0.0373,Bonds
1965,0.0072,Bonds
1966,0.0291,Bonds
1967,-0.0158,Bonds
1968,0.0327,Bonds
1969,-0.0501,Bonds
1970,0.1675,Bonds
1971,0.0979,Bonds
1972,0.0282,Bonds
1973,0.0366,Bonds
1974,0.0199,Bonds
1975,0.0361,Bonds
1976,0.1598,Bonds
1977,0.0129,Bonds
1978,-0.0078,Bonds
1979,0.0067,Bonds
1980,-0.0299,Bonds
1981,0.082,Bonds
1982,0.3281,Bonds
1983,0.032,Bonds
1984,0.1373,Bonds
1985,0.2571,Bonds
1986,0.2428,Bonds
1987,-0.0496,Bonds
1988,0.0822,Bonds
1989,0.1769,Bonds
1990,0.0624,Bonds
1991,0.15,Bonds
1992,0.0936,Bonds
1993,0.1421,Bonds
1994,-0.0804,Bonds
1995,0.2348,Bonds
1996,0.0143,Bonds
1997,0.0994,Bonds
1998,0.1492,Bonds
1999,-0.0825,Bonds
2000,0.1666,Bonds
2001,0.0557,Bonds
2002,0.1512,Bonds
2003,0.0038,Bonds
2004,0.0449,Bonds
2005,0.0287,Bonds
2006,0.0196,Bonds
2007,0.1021,Bonds
2008,0.201,Bonds
2009,-0.1112,Bonds
2010,0.0846,Bonds
2011,0.1604,Bonds
2012,0.0297,Bonds
2013,-0.091,Bonds
2014,0.1075,Bonds
2015,0.0128,Bonds
2016,0.0069,Bonds
2017,0.028,Bonds
2018,-2e-4,Bonds
