trial,allocationLeft,allocationRight,left,time,task,evalPeriod,stockAllocation,n_trial,usertoken,treatment,mturker,dv
0,60,40,bonds,2021-03-14T18:09:44Z,task1,1,40,1,bD48Dkqx,hops,master,0.6990419999999999
0,18,82,stocks,2021-03-14T18:45:52Z,task1,30,18,1,eQFXhCnI,hops,master,0.590516
0,35,65,stocks,2021-03-14T18:59:52Z,task1,1,35,1,HnGQuT00,point,master,0.674377
0,0,100,stocks,2021-03-14T18:52:59Z,task1,1,0,1,Ks0A1NpT,barchart,master,0.501722
0,20,80,bonds,2021-03-15T01:31:38Z,task1,30,80,1,M5LqR4zT,barchart,master,0.896362
0,60,40,bonds,2021-03-15T01:21:11Z,task1,1,40,1,3ndBz7Qo,table,master,0.6990419999999999
0,0,100,bonds,2021-03-15T01:22:41Z,task1,1,100,1,AWr1hgkv,hopsdist,master,0.995022
0,100,0,stocks,2021-03-15T01:26:41Z,task1,30,100,1,CdUu1H6o,interval,master,0.995022
0,33,67,bonds,2021-03-15T01:39:10Z,task1,1,67,1,zPh3til0,table,master,0.832233
0,30,70,bonds,2021-03-15T04:18:48Z,task1,30,70,1,qjKh7UVK,dotplot,master,0.847032
0,100,0,stocks,2021-03-15T04:07:26Z,task1,30,100,1,0kdSrEo1,hops,master,0.995022
0,90,10,stocks,2021-03-15T03:59:18Z,task1,30,90,1,NtGf92sF,hops,master,0.945692
0,30,70,bonds,2021-03-15T04:18:38Z,task1,30,70,1,s4Q3qpf8,density,master,0.847032
0,30,70,bonds,2021-03-15T04:18:42Z,task1,30,70,1,wcNpYsey,table,master,0.847032
0,4,96,stocks,2021-03-15T04:15:31Z,task1,30,4,1,jRfV99uU,interval,master,0.521454
0,30,70,stocks,2021-03-15T04:19:01Z,task1,1,30,1,vfzDKPXv,point,master,0.6497120000000001
0,30,70,stocks,2021-03-15T04:18:49Z,task1,30,30,1,kNKuLFG1,dotplot,master,0.6497120000000001
0,100,0,stocks,2021-03-15T04:18:06Z,task1,30,100,1,zmUvANDx,interval,master,0.995022
0,30,70,bonds,2021-03-15T04:18:50Z,task1,30,70,1,benynrvy,density,master,0.847032
0,80,20,stocks,2021-03-15T04:31:18Z,task1,30,80,1,ebn3H4dp,density,master,0.896362
0,75,25,bonds,2021-03-15T04:31:36Z,task1,1,25,1,9WnJN1l8,dotplot,master,0.625047
0,15,85,stocks,2021-03-15T04:37:27Z,task1,30,15,1,Ezv2ERqp,dotplot,master,0.575717
0,50,50,bonds,2021-03-15T05:33:41Z,task1,30,50,1,ybFQHjKq,density,master,0.748372
