usertoken,treatment,mid1,mid2
bD48Dkqx,hops,I based it on the returns compared to each other over the long run. I wanted higher returns.,I watched for the higher rates of returns here.
eQFXhCnI,hops,Determined based on the bar chart.,Based on the orange line in the graph.
HnGQuT00,point,I can check the number of years and how much interest rate. That is the only thing that I have use this chart.,I have to think number of years evaluation and average return rate. 
Ks0A1NpT,barchart,It seemed like some funds had better returns than others. I just intuitively looked at the charts to determine which ones were better. It seemed fairly clear at least most of the time.,I used the same process/logic as before. The charts generally looked the same as before.
M5LqR4zT,barchart,The rise in the bars based on their fluctuations and returns decided ,"comparing the both chart the first one not give much difference in returns but is consistent, but the second one gives a rise in returns with sure"
3ndBz7Qo,table,"I looked for the growth for each, and compared one to the other. I also looked at the low end.  I considered the length of investment as well, as large differences tend to smooth off over time. ","The numbers made this more confusing and harder to decide.  I found myself being more conservative in my allocations, sticking closer to a 50-50 split in many cases.  Definitely prefer the graphs. "
AWr1hgkv,hopsdist,i went with the results that if i rant the same scenario 10000000 times would net me the largest overall gains. highest net returns were the most important.,i went with the charts that had the highest possible rates of returns. outside of the last comparison the ones with the highest possible returns would pay out the most over time if ran consistantly.
CdUu1H6o,interval,"I went with the chart that had the highest possible increase unless there was a high percentage of a total loss, which none of them had. The slow and steady ones didn't seem to offer as much profit.","I chose the one with the most possibility of a high return unless there was too much of a chance for loss, in which case I split it evenly with the more secure one."
zPh3til0,table,I choose best results % as my final value. Not select the average or low value because my goal is to get higher value returns.,I prefer the highest possible rate values to my final value to get higher bonus.
qjKh7UVK,dotplot,"Charts are used in situations where a simple table won't adequately demonstrate important relationships or patterns between data points. When making your chart, think about the specific information that you want your data to support, or the outcome that you want to achieve .","With a dual axis chart you are essentially combining multiple charts and adding a second y-axis for comparison. Some members of the data visualization community are skeptical about the use of dual axis charts because they can often be confusing, poorly designed, and misleading to the viewer."
0kdSrEo1,hops,Just look at the bars in chart to decide the values of the return percentage,by the orange bar movements forward and backward i was judging the values 
NtGf92sF,hops,I used the best and worst of each graph to determine the outcomes and which investment was better overall - I tended to put more money in the investment that I had the strongest rate of possible return over the time span. ,I looked at the fluctuations over the period of time and used that to determine the volatility of each investment. I chose the one that I felt was safest to protect my investment but I did always put some in both funds. 
s4Q3qpf8,density,The main functions of a chart are to display data and invite further exploration of a topic.,Graphs and charts condense large amounts of information into easy-to-understand formats that clearly and effectively communicate important points. 
wcNpYsey,table,It is very useful of the charts in the task.The main functions of a chart are to display data and invite further exploration of a topic. Charts are used in situations where a simple table won't adequately demonstrate important relationships or patterns between data points.,"To interpret a graph or chart, read the title, look at the key, read the labels. Then study the graph to understand what it shows. Read the title of the graph or chart. The title tells what information is being displayed."
jRfV99uU,interval,Rules. Always title the graph with an appropriate name that explains the data shown.,"It’s important to ask yourself how you want to showcase your key performance indicators as not only will this dictate the success of your analytical activities but it will also determine how clear your visualizations or data-driven stories resonate with your audience.

"
vfzDKPXv,point,A bar chart uses either horizontal or vertical bars to show comparisons among two or more categories. One axis of the chart shows the specific categories being compared.,A trend is the general direction in which something is developing or changing over time. A projection is a prediction of future change. 
kNKuLFG1,dotplot,To easily make a financial decisions to allocate a hypothetical investment for retirement between the two funds as a percentage for retirement.,The chart was use to make a decision easily
zmUvANDx,interval,"The average highest percent return, even if it was negative for a few years.",Wanted the dark green to be highest.
benynrvy,density,Image Formation in the Eye.,Brightnes Adaptation and Discrimination
ebn3H4dp,density,I tried to minimize the risk. I tried to avoid funds that can return lower returns.,"Honestly, these charts are a bit hard to understand. I tried my best to avoid funds that may return low returns."
9WnJN1l8,dotplot,"I was trying to minimize risk when it comes to possible negative returns on the investment. Based on the charts in this study, 6/7 trials had virtually zero negative returns. As such, there was no risk in putting 75-100% of the investment on one fund since loss odds were negligible. The only trial where I had to split the funds was the first trial due to the 50/50 odds of huge losses on the riskier fund.",I tried to split my funds such that the fund with the highest odds of positive returns get most of the investment. I tried to hedge my risk on funds with possible negative return by investing a small amount in to the safer fund with smaller return.
Ezv2ERqp,dotplot,"Bar charts are good for comparisons, while line charts work better for trends",Data visualization is the graphical representation of information and data
ybFQHjKq,density,Best growth best returns.,Used growth of returns.
F5VIGNAk,hopsdist,"I looked in to the percentage of earnings over a given period of time say 5 years, 15 years and the like. Based on the percentage growth and timing, I choose the options.","Based on expected rate of return for the given years, and the changes in the percentage, and the possibility of changes in the percentage, I have selected the percentage of investment."
E59UVtDr,point,i looked at the top rate of return and the average for each fund.,i looked at what i thought would be the mean return was and the average.
v2e8aGQ4,point,Used the projected rate of return and factored it against the time period of the samples. I also looked at the extent of negative returns and the probability of recurrence of such adverse events.,this visualization was much more helpful as I had color bands and the dot (avg.) to make the decision. I looked at the extent of the deeper color (dark green) band to get an understanding of the fluctuation in the most probable outcomes (66%) and make a decision. I also factored in the average point while making the allocation decision.
YiuoCenX,table,The growth percentage of each bar on the chart helped me to make the decision.,The figures with growth percentage gave me a clear view of growth.
ZAoHkw0a,hops,"If there were no negative years in either chart, I chose the chart that had the higher returns. If there were negative years in one chart that also had higher returns in other years, I chose 80% or 90% of the riskier chart, with 10% or 20% of the safer chart to balance out the bad years.",I watched to see if the values went below 0%. Then I used the same strategy as the last round.
M45OaFvP,dotplot,"If it was a long period, I went with the one with the highest return over the length. Otherwise, if it was short, I played it safe.","The clustered dots were the most likely, so I chose the safest one if the period was short. I wouldn't have enough time to recover from losses."
iqmer3KI,point,I looked to make sure the percentages matched up.  Then I selected the one with the highest possible gains.,I compared the ranges of return and picked the ones that were the longest/farthest to try for the maximum rate of return.
T7HR6iyi,density,Best plan to select retirement scheme.,Prepare to chart and help the take decision.
rcY6S9oO,dotplot,I looked atthe charts to see which fund had the highest rate of return compared to the lowest risk. Over a long period of time the higher rate of return is worth the risk of loss.,I looked at the grouping of the dots in the return and how tight they were. I used this to find the higher rate of return with lesser risk.
lNOCYGhO,dotplot,I used the charts to determine what my best chances of the highest return would be. ,I went with more risk this time but hedge my bets by going with the more stable fund on a few rounds. 
140n4mbs,hops,I looked for the return rate and tried to estimate future returns,I just tried to guess at future returns
f5LKgqpQ,point,"I was just trying to find which chart was going the highest with minimal negative values. I was figuring that in the long run, I didn't care about risky choices. I did not really care about allocating partially because I was thinking each chart was either better or worse.","I was primarily at 2 features. The first was checking that more of the green line was centered in the positive quadrant. 2nd, making sure there was very high values that are positive. Over the long run, I wanted more positive magnitude. I did not care about allocating because each chart was either better or worse."
DBQIKx8Z,table,I looked at what the top and lowest possible earning were. I considered risk with those.,Looked at high and low rates. Decided how much risk I wanted
39ZWzf76,dotplot,every think very interesting,none
AR0XBZIP,interval,I tried to compare the chance of summer a loss and balance that out with gain.  I tried to look at how much of a chance there was to loose money and balance that with the greater return.  The chance of a greater return was balance.,The number that stood out to me the most was the chance of loss.  I tried to balance that with the chance of return.   I really tried to look at the amount of green below the 0% mark.
fzvUmShi,point,Aim big without risk,Aim high
ISxZ2FH5,hops,I looked at the minimum and maximum returns and how frequently the returns were negative to make my allocatation,I tried to notice if one was higher than the other for most years and allocated more for that one.
ixnlV8AS,table,"I tried to see where the overall average was, and if the high end of the spectrum was worth the risk at the low end of the spectrum. I also chose riskier investments with longer terms. ","I tried to look for the highest and lowest rates in the chart. I struggled to get a good mental picture of each fund, so I tended to balance a little more. "
kcjVVfCK,table,I looked for a chance of loss in the graphs. I have decided to invest more money in funds which have a chance for less or little loss over the given evaluation period .The visual graphs helped me to decide this.,"I looked for negative returns, tried to invest less amount in such funds,
 Also checked for higher returns and tried to invest in them ,even though there was some negative returns."
Es5ER1YT,dotplot,"I tried to look at the chances of a negative return vs the chances of a high/good return. In a lot of cases, it was a good way to identify risk, and the risks were worth it. ","I tried to look at not only the actual number, but the the odds of landing on that particular answer. "
6ZVU5hiB,barchart,If I saw a greater chance of more growth over 30 years I went with that fund.,I chose the fund with the greatest 30 year return rate
xCjrtzRP,density,based on my opinion about what I learned in the instructions,Based on my opinion
1C6DBLUa,hops,"see the bar code increased level
",see the expected rate of return in an investment period
7ucyRcab,hopsdist,The Charts was very helpful to take decisions and made the statistics helped in looking for a longer run.,This chart was little bit confused and couldn't take proper decisions.
TF24R4Vr,point,I tried to see which chart had the best average earnings during the designated time,I tried to put the earnings with an average return with higher values
JRSkVids,hopsdist,I checked the highest and lowest return for each option and made a decision keeping in mind the given growth chart. ,I observed the maximum growth ratio achieved by each option and chose the one that seem to have better return rate.
EACALwsH,barchart,I tried to look for an expected rate of return and then factor in the degree of risk/variation around that expectation.,"I again looked at an expected return and the variability around it, but this time when determining if the higher expectation was worthwhile I considered the investment time frame to a larger extent because a 1-year window (as was the case in some scenarios) means I should be a lot more risk averse."
bijkrN4x,interval,I wanted to make sure there wouldn't be significant losses.  If that were a possibility I tried to diversify more.  I looked for funds that had a high rate of return but were also consistent by having mostly positive rates of return.,I tried to keep the entire bar mostly in the positive.  If it went into the negative I'd start to push more into the find with everything positive.  If not I went with the one that had the highest dark green portion.
yesT399G,density,"I first considered how risky each investment was.  If I considered it risky, I would either no invest at all or I would choose a small percentage.  I also considered how stable the returns were.  The more stable I viewed it as, the more I invested in that fund.","I looked to see how much of the distribution was below zero.  I viewed the larger area of distribution below zero as being more risky, so I invested more conservatively in those funds.  I attempted to invest more heavily in the less risky funds so that I would have a greater chance of not losing money. "
UhLgT1NF,hops,arbitrage based on visual representation of average return/loss,visual representation of arbitrage of average return
